Seed,Model,Outlier_Mode,N_Train,N_Test,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE
8,ExtraTrees,iqr_remove,165,55,0.7165423903114223,0.06886507822757339,0.23656310331671293,320.71543219957016,104.25563854545474
8,KNN,iqr_remove,165,55,0.651091477561262,0.09706125179805825,0.05443215579674332,356.92718967573074,118.97111871650948
8,Ridge,iqr_remove,165,55,0.6497388506414202,0.10189512201670328,0.5804260804600423,237.7593077173026,81.82798098875423
8,MLP,iqr_remove,165,55,0.6162901606244388,0.08764328234549928,0.6055740376048914,230.52393911491637,81.2447231622433
8,RandomForest,winsorize_1_99,218,55,0.7545394923571412,0.23303892711236437,0.7650606549810461,177.91442523256208,69.49699890909078
8,ExtraTrees,winsorize_1_99,218,55,0.7578386844939848,0.24561165242042715,0.8019446633146042,163.3527912161536,62.558640363636194
8,KNN,winsorize_1_99,218,55,0.7917241444565642,0.132283593968566,0.7112295143668964,197.24667305157166,70.123295257465
8,Ridge,winsorize_1_99,218,55,0.7756050251026447,0.18916776297470023,0.7648316575938249,178.00111146955757,70.67638904919446
8,MLP,winsorize_1_99,218,55,0.5931243486157631,0.21488945067458592,0.797694471751769,165.0962315978767,61.060178344178354
9,RandomForest,none,218,55,0.7893757026647032,0.14069261688375426,0.8594133769480952,81.13634034427271,34.44000399999989
9,ExtraTrees,none,218,55,0.8237112873491957,0.09761689443856114,0.8417015575897109,86.09575447420096,36.678972727272516
9,KNN,none,218,55,0.8058558591300298,0.15319449308519784,0.8511745783183843,83.47991078560877,35.07834212360639
9,Ridge,none,218,55,0.8390148761986149,0.13364003706818606,0.8545090081570912,82.53943043079599,43.19863473031922
9,MLP,none,218,55,0.6465484219778798,0.29834934771155985,0.08863176228399938,206.58099258459532,97.1803706019655
9,RandomForest,iqr_remove,168,55,0.6488635989884912,0.13270652380632125,0.41317926523088466,165.76626065960096,66.31721709090935
9,ExtraTrees,iqr_remove,168,55,0.7002177503664615,0.0581881682553298,0.4773941746117345,156.43377966071566,63.95981490909127
9,KNN,iqr_remove,168,55,0.703868953338471,0.08092752163185524,0.20017361254995325,193.52687302526155,84.22346667572778
9,Ridge,iqr_remove,168,55,0.6658235062106823,0.0919459104428889,0.7727592006199346,103.15411788275378,46.1186208093459
9,MLP,iqr_remove,168,55,0.5832587426814746,0.05847186195187295,0.7966660585043424,97.57720072725506,41.83886056237524
9,RandomForest,winsorize_1_99,218,55,0.7926683871376149,0.14536173669171257,0.8585792526546979,81.3766822126454,34.54587090909079
9,ExtraTrees,winsorize_1_99,218,55,0.8350276636794801,0.10914202072567523,0.8460180052982871,84.91382140222274,35.49113527272705
9,KNN,winsorize_1_99,218,55,0.7746253315384821,0.1673380419772589,0.8456215203133415,85.0230725227027,36.94757941014164
9,Ridge,winsorize_1_99,218,55,0.8355263761113202,0.14325762639344836,0.8064171591161351,95.20874595512645,52.469225128690596
9,MLP,winsorize_1_99,218,55,0.6196635156457913,0.2592459309759672,0.10719316533621714,204.46650263121032,96.71965936900109
10,RandomForest,none,218,55,0.5537999187018571,0.5253702345090462,0.9025180753032744,87.49840845245167,45.11942800000016
10,ExtraTrees,none,218,55,0.6956381644154174,0.29998106304993993,0.8738882651911852,99.52125770593001,49.92025636363639
10,KNN,none,218,55,0.6879264143410811,0.2665680894812481,0.9200368015604409,79.24706459027381,41.65579982344091
10,Ridge,none,218,55,0.6797450257466505,0.2815499549485014,0.9229519916306774,77.78911209138101,45.5789482189984
10,MLP,none,218,55,0.5851568058292929,0.29486990296193044,0.9139374413552044,82.21389662670771,44.72821222357712
10,RandomForest,iqr_remove,166,55,0.7983405450351898,0.06453884976108769,0.09307674468630411,266.8845142470536,87.17797381818171
10,ExtraTrees,iqr_remove,166,55,0.8299484652645056,0.0584988499715081,0.093050630907899,266.88835653076177,88.71370218181814
10,KNN,iqr_remove,166,55,0.7334411690825706,0.08624903444303135,0.02435373660759954,276.81160830216936,94.20531487202294
