Stratify_Col,Seed,Model,Outlier_Mode,Test_R2,Test_RMSE,Test_MAE,CV_R2_Mean
pH,11,RandomForest,winsorize_1_99,0.9196840564329816,25.973461241272265,15.131990545454556,0.7426135545150031
pH,11,ExtraTrees,winsorize_1_99,0.9122976433965388,27.141545675255507,15.599210909090923,0.7906180596479254
pH,11,KNN,winsorize_1_99,0.8690701583560261,33.162576606341155,18.811774601408366,0.7781200345082034
pH,11,Ridge,winsorize_1_99,0.7581747835579067,45.06918840729425,25.901472204515553,0.8129310140204504
pH,11,MLP,winsorize_1_99,0.5933909888031779,58.440973873025634,29.840969286284686,0.7931529682382423
pH,12,RandomForest,none,0.6308672548453227,195.13637452840536,66.55937127272732,0.8471392902414226
pH,12,ExtraTrees,none,0.610143513510012,200.53922299956517,65.46162654545464,0.8621430128981851
pH,12,KNN,none,0.537653874512102,218.38889805558264,70.1167947986474,0.8374671114570731
pH,12,Ridge,none,0.5484619337678995,215.8212134595662,79.35348644969436,0.886636197916264
pH,12,MLP,none,0.6427727698825856,191.96374933223316,69.41520656462154,0.5840993028656895
pH,12,RandomForest,winsorize_1_99,0.6577767548855364,187.88914850694258,65.25712145454548,0.8532683502960893
pH,12,ExtraTrees,winsorize_1_99,0.588533772470945,206.02221073750624,67.40333345454556,0.871529469352841
pH,12,KNN,winsorize_1_99,0.5444911360694974,216.76809548135537,70.22091264241415,0.8744112384891757
pH,12,Ridge,winsorize_1_99,0.6030692212590244,202.35052419233793,80.90693640118118,0.866719572314369
pH,12,MLP,winsorize_1_99,0.6938031259540927,177.72450856698256,70.31669067776284,0.5628573124789013
pH,13,RandomForest,none,0.8196941878823765,86.90332816420798,34.50165272727264,0.723690538573386
pH,13,ExtraTrees,none,0.8489051643560991,79.55296233262087,33.319203272727215,0.7839047925926862
pH,13,KNN,none,0.7786419474508853,96.28956141964856,36.39978574991739,0.783658862593995
pH,13,Ridge,none,0.7358354746861852,105.18862878449384,44.0603009501044,0.8207516032360497
pH,13,MLP,none,0.5743037824168203,133.53079713431285,60.283404479814244,0.8321190615742932
pH,13,RandomForest,winsorize_1_99,0.8222831627387465,86.27715857951011,34.046937090909,0.7028542121181605
pH,13,ExtraTrees,winsorize_1_99,0.8506244437251553,79.0990584103872,33.62576072727266,0.773097876726298
pH,13,KNN,winsorize_1_99,0.7442456439556574,103.50064723113434,39.48181509023462,0.7930369103107967
pH,13,Ridge,winsorize_1_99,0.7846050733875081,94.98374323590834,42.82579995053016,0.7746774511757399
pH,13,MLP,winsorize_1_99,0.5645278246631726,135.0553371197325,59.86765178392978,0.8101963927437437
pH,14,RandomForest,none,0.8305275004752072,103.74346137689489,36.58214618181815,0.04682837856192388
pH,14,ExtraTrees,none,0.8203945492735387,106.79990661139126,35.081611636363625,0.3287606442055929
pH,14,KNN,none,0.8100778671932032,109.82441686588813,31.38584917397277,0.5410608346081875
pH,14,Ridge,none,0.9277056534581448,67.75842224421632,39.138827281438424,0.09102903441730315
pH,14,MLP,none,0.09943672344585619,239.14881497596855,79.55161675970487,0.3858643382915174
pH,14,RandomForest,winsorize_1_99,0.8640405859025407,92.92140306435023,34.80156836363635,-0.07610584563557968
pH,14,ExtraTrees,winsorize_1_99,0.8961665338329485,81.20444314430337,30.405593454545425,-0.10336662766903144
pH,14,KNN,winsorize_1_99,0.8772119127353566,88.3058008859236,33.01829325923165,0.5612914954860649
pH,14,Ridge,winsorize_1_99,0.9405133582607346,61.46400317056998,38.97606229388184,0.177872709930552
pH,14,MLP,winsorize_1_99,0.13640399859148333,234.18896542305043,77.15178029822046,0.32204551549844584
pH,15,RandomForest,none,0.768605420068511,132.05957754299305,43.76009963636373,0.6873527800378376
pH,15,ExtraTrees,none,0.7262395891177296,143.64107100786316,46.59423890909098,0.7683372029643659
pH,15,KNN,none,0.620837345611403,169.04646367864964,52.91829926630407,0.7166325964667231
pH,15,Ridge,none,0.6515095830784756,162.06481306765824,53.98342591984041,0.7691028282991843
pH,15,MLP,none,0.6672848206351885,158.35421223082795,56.63558277193709,0.734085432297778
pH,15,RandomForest,winsorize_1_99,0.7860958797460069,126.97051691411554,42.38206400000009,0.6366486418579241
pH,15,ExtraTrees,winsorize_1_99,0.7285358558097581,143.0373811208597,46.67286109090917,0.7694031761573941
pH,15,KNN,winsorize_1_99,0.598793150895535,173.89115087071195,54.044669703558135,0.7248000979409623
pH,15,Ridge,winsorize_1_99,0.7032925690018748,149.5400509450279,51.6099106198256,0.6653181416855194
pH,15,MLP,winsorize_1_99,0.7221178404771861,144.71836431616697,49.621585378638734,0.7088957767345904
pH,16,RandomForest,none,0.8505843066808633,148.299434584345,54.5221858181818,0.6172076796170043
pH,16,ExtraTrees,none,0.8185990782423247,163.40341653931964,58.161578545454645,0.7806832098659887
pH,16,KNN,none,0.7716286912282765,183.34208183617977,61.899973086921385,0.6473203711990362
pH,16,Ridge,none,0.8190874172756996,163.18332382463734,61.086096512797376,0.7720625611152414
pH,16,MLP,none,0.8745094373141475,135.90859453385366,51.151683048645175,0.5720724299090841
pH,16,RandomForest,winsorize_1_99,0.83792687680633,154.4531921979052,60.10516436363641,0.5722539943784621
pH,16,ExtraTrees,winsorize_1_99,0.8457131930807196,150.69740837079658,53.63246218181817,0.6823462776554001
pH,16,KNN,winsorize_1_99,0.7403449201502326,195.4968660591609,65.84774643508332,0.6850169654311603
pH,16,Ridge,winsorize_1_99,0.7895031088263077,176.02089751505633,76.29897904596682,0.6859149233517013
pH,16,MLP,winsorize_1_99,0.8326281133147253,156.95770642842362,59.05641073548007,0.43543172438326944
pH,17,RandomForest,none,0.7981111963591089,73.03446322259553,35.11863127272721,-0.4893234084162302
pH,17,ExtraTrees,none,0.7210869457412473,85.84324874874663,38.75209127272727,0.1783594894538008
pH,17,KNN,none,0.8059395727048723,71.60448344932304,31.87938116872842,0.2790082121022879
pH,17,Ridge,none,0.7789282253214331,76.42551488074517,43.54441016346807,0.27404412550252644
pH,17,MLP,none,0.7624242462251823,79.22692175585581,44.610394106873485,0.5826888224081045
pH,17,RandomForest,winsorize_1_99,0.793395097211798,73.88257716873017,35.41321781818176,-0.5974224980053414
pH,17,ExtraTrees,winsorize_1_99,0.6962911272666198,89.57781490536762,39.10057127272725,-0.2080698823508455
pH,17,KNN,winsorize_1_99,0.8021645423966203,72.29758497562094,32.47910320828294,0.1786474983494421
pH,17,Ridge,winsorize_1_99,0.8438657657496881,64.22746679426731,36.354440989443994,-0.08216274815235965
pH,17,MLP,winsorize_1_99,0.8369506008316131,65.63437073814102,36.329017265572304,0.6093844291933221
pH,18,RandomForest,none,0.6718384027149102,179.7549978750246,65.57293927272727,0.8017750536439572
pH,18,ExtraTrees,none,0.7058511211016123,170.18477098094172,62.28742909090904,0.8555900060450169
pH,18,KNN,none,0.6489482293485646,185.9185312280734,60.28625090901718,0.8285411344446993
pH,18,Ridge,none,0.6451573012530457,186.91968161853572,68.80497194149132,0.8570677802256723
pH,18,MLP,none,0.6566215265451205,183.87539919781523,69.0817598709372,0.5030603580477673
pH,18,RandomForest,winsorize_1_99,0.6379033004962036,188.82060244493871,69.02896181818184,0.8175473364183367
pH,18,ExtraTrees,winsorize_1_99,0.6914297316341511,174.30672170737475,65.83045345454542,0.8801000972549948
pH,18,KNN,winsorize_1_99,0.6416458118704964,187.84227440408793,61.998677166256925,0.7805745917864689
pH,18,Ridge,winsorize_1_99,0.6426786566905456,187.57138051871428,83.37099467436596,0.8818308592211478
pH,18,MLP,winsorize_1_99,0.6653268515992548,181.52963334807896,76.75562735970674,0.4931280900455134
pH,19,RandomForest,none,0.7510801453812124,189.78466478781047,57.792087999999964,0.6809316003729966
pH,19,ExtraTrees,none,0.7682573436333492,183.11939219851394,50.961216363636325,0.8018570972121518
pH,19,KNN,none,0.6822681024726985,214.41825436811982,73.98420169718042,0.741649492477647
pH,19,Ridge,none,0.7257512786909346,199.20656804384032,70.73652659533896,0.8244893716346896
pH,19,MLP,none,0.7606947191397575,186.08333847867686,57.87216503269066,0.6994282644416032
pH,19,RandomForest,winsorize_1_99,0.7999765454352341,170.12643818655744,50.087518181818055,0.7081351126641715
pH,19,ExtraTrees,winsorize_1_99,0.7823482470048652,177.46488519769025,47.43349054545439,0.7833469691697227
pH,19,KNN,winsorize_1_99,0.7044870309786687,206.78528006535325,68.21283448891201,0.7555078194599882
pH,19,Ridge,winsorize_1_99,0.7542499049215351,188.57242891286725,69.62781837848773,0.7882133548103142
pH,19,MLP,winsorize_1_99,0.5601436207307438,252.28230787706744,102.78118711227206,0.6821054519257908
pH,20,RandomForest,none,0.8958962570312258,88.84496696255361,30.67848400000002,0.5572000609971315
pH,20,ExtraTrees,none,0.9529145769246293,59.75068609077775,24.44115454545454,0.7347181637037921
pH,20,KNN,none,0.9176400750008968,79.02374896143634,28.388925051893718,0.675487820078669
pH,20,Ridge,none,0.9638438280528069,52.35894407025081,30.593780453256123,0.721871047658875
pH,20,MLP,none,0.7900744685201502,126.1630816921551,52.14871926418669,0.6512735981487054
pH,20,RandomForest,winsorize_1_99,0.8952412994619595,89.1240080670391,30.698367272727275,0.5554045378692136
pH,20,ExtraTrees,winsorize_1_99,0.9642966998929351,52.03000146934159,22.78116509090909,0.6647796913120244
pH,20,KNN,winsorize_1_99,0.9171671186088945,79.2503232572013,30.791506340949656,0.6718090450306837
pH,20,Ridge,winsorize_1_99,0.9451087965864094,64.51356388650501,31.582138396947784,0.7100731131162983
pH,20,MLP,winsorize_1_99,0.841489736424297,109.62973189285536,48.4297017430233,0.634327871345387
pH,21,RandomForest,none,0.8289953795833522,60.98760564555351,30.74694472727282,0.6567239765447099
pH,21,ExtraTrees,none,0.7625651863898983,71.86374731220216,31.304632727272804,0.7073839958163276
pH,21,KNN,none,0.9062888885327135,45.14744789416629,25.445152310025602,0.7592587986676046
pH,21,Ridge,none,0.8543045417979721,56.293813218453074,35.8587634365367,0.7780369197926468
pH,21,MLP,none,0.8528329176495888,56.57740198708978,32.754816829962095,0.7581033981751683
pH,21,RandomForest,winsorize_1_99,0.8334951874312205,60.17984382038777,30.251642909091,0.6523984372108306
pH,21,ExtraTrees,winsorize_1_99,0.7974953927272298,66.3674475450926,28.873583272727327,0.6655315978103797
pH,21,KNN,winsorize_1_99,0.8584545980447555,55.486271682197426,28.165315299104748,0.7711437479392146
pH,21,Ridge,winsorize_1_99,0.8404371860542481,58.91196439067716,35.19581834403394,0.7344384933450943
pH,21,MLP,winsorize_1_99,0.844353532703526,58.18449843915507,32.56759581337777,0.7359874121687182
pH,22,RandomForest,none,0.8283867231473023,110.5228744456202,39.673785090909085,-0.6841263882787826
pH,22,ExtraTrees,none,0.8379177762723549,107.40992730020285,39.054247272727316,-0.12205662216234225
pH,22,KNN,none,0.7657800051000456,129.11857161680646,51.07588366480909,0.047937903022910254
pH,22,Ridge,none,0.899140386344202,84.72964358009463,46.73130172684775,0.02675041569348169
