Seed,Model,Outlier_Mode,CV_R2_Mean,CV_R2_Std,Test_R2,Test_RMSE,Test_MAE,N_Train,N_Test
13,ExtraTrees,winsorize_1_99,0.8461818321201895,0.06123006905469317,0.7105190033253571,85.24160836357903,41.81676318840561,273,69
13,KNN,none,0.8507592186168903,0.0773681013484113,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
14,Ridge,winsorize_1_99,0.8251985007062318,0.12059301998031517,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
14,ExtraTrees,winsorize_1_99,0.7975913199241228,0.16358763937925794,0.7202701609764119,83.79362977502234,41.22966202898531,273,69
14,KNN,none,0.8139785613649145,0.11197114604464649,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
15,Ridge,winsorize_1_99,0.8161005304931198,0.08558459409132713,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
15,ExtraTrees,winsorize_1_99,0.8416003663066338,0.10352109927403458,0.7024960211806741,86.41477332513551,42.6428304347824,273,69
15,KNN,none,0.8103955500841128,0.11431095179898712,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
16,Ridge,winsorize_1_99,0.483666743210729,0.7387891071710725,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
16,ExtraTrees,winsorize_1_99,0.35154858156667174,1.0138645916935523,0.7358682778262946,81.42389761242478,40.658815652173764,273,69
16,KNN,none,0.5676169409156262,0.4126338489708804,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
17,Ridge,winsorize_1_99,0.7650083733336346,0.25021915644383314,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
17,ExtraTrees,winsorize_1_99,0.719159040043024,0.32599489896812184,0.7262535944063699,82.89261082797212,40.992455362318665,273,69
17,KNN,none,0.7891724645032726,0.1177308717909985,0.7424961248448003,80.39582393924678,41.362704274373044,273,69
18,Ridge,winsorize_1_99,0.7280465161603153,0.24672235284501964,0.5846262748712039,102.1083166670311,57.75295196867978,273,69
18,ExtraTrees,winsorize_1_99,0.6617280588873065,0.425818061680673,0.7159696765879813,84.43528236366666,41.68391101449257,273,69
