pH,Fe,Mn,Al,SO4,SHAP_pH,SHAP_Fe,SHAP_Mn,SHAP_Al,SHAP_SO4
8.41,24000.0,580.0,12.0,500000.0,-11.226528686345965,-1.6101793926574948,-42.594682913557534,-52.6901833289581,-3.004002217915873
4.59,46.0,700.0,1700.0,81000.0,4.824535426403923,-1.4529091829856355,-48.153728528061116,-33.07862959710887,-10.624476297361854
8.1,25000.0,650.0,10.0,260000.0,-10.877310565561674,-1.632353566320581,-42.63131410234413,-51.902048550232905,-4.0725843174251395
8.04,5300.0,560.0,8.0,630000.0,-11.275875647656763,-1.4939408728839865,-42.419335905035695,-53.89335350759463,-2.127588673613623
6.74,91000.0,1400.0,30.0,510000.0,-8.996925091309707,1.0101836080395428,-43.95507821490023,-53.051447237221986,-3.0769606610206113
7.78,18000.0,1600.0,23.0,490000.0,-10.832662250696863,-1.5716055542929648,-41.43204461268462,-53.20701079180891,-3.093032578885955
7.7,43000.0,1800.0,27.0,930000.0,-11.191084176457993,-1.1050323682780032,-41.77558111020266,-55.03543600533838,-0.05520844090835327
8.21,45000.0,1500.0,21.0,470000.0,-11.134142131069764,-1.0523902075761067,-42.219299322371846,-52.15658100853738,-3.4506433467478286
2.69,81000.0,3200.0,15000.0,690000.0,13.404489543027491,-5.718215048169643,-61.933514451921454,53.483632967221865,-6.4681653489707545
3.52,4900.0,2600.0,8200.0,520000.0,11.7144892045503,-2.0672011209427046,-53.12110766112221,11.790642136394295,-4.03128063662263
3.16,36000.0,2200.0,1900.0,430000.0,11.948368722029173,-2.201691197776768,-46.792623483643,-28.497486257237345,-4.562436173485733
6.41,9000.0,1900.0,160.0,98000.0,-6.799934644727124,-1.7493482635678277,-41.21090765020036,-49.238094305209906,-5.007517496909066
5.8,25000.0,3200.0,36.0,350000.0,-2.6466311945728997,-1.6368916737393597,-38.64506803384806,-57.35211138716593,-3.9495306893346642
3.78,16000.0,2800.0,1200.0,360000.0,6.871403306598493,-2.278613385432525,-43.2290504989289,-38.788593803012304,-4.86965507233506
3.02,43000.0,1300.0,7700.0,410000.0,12.976848145695627,-2.5353565789273014,-59.4687783702193,9.30764563440901,-6.866645335127588
3.52,1100.0,1800.0,4300.0,100000.0,10.448983010491752,-1.8980593715873841,-51.29923978821911,-21.985015655574042,-8.833095201889178
6.91,13000.0,1900.0,35.0,96000.0,-8.998196435520617,-1.6158627491473254,-41.10638442567514,-52.58095307045623,-4.530852942749069
8.15,64000.0,2600.0,18.0,740000.0,-11.527675747803945,0.09838672765144532,-41.25615559850666,-54.821493976570196,-1.9180778681341928
3.92,22000.0,1400.0,95.0,180000.0,7.603435967798598,-2.1526944672649915,-46.023084726057746,-57.093870335286475,-5.3870652888342505
2.96,4000.0,5200.0,34000.0,985000.0,21.616118897564462,-2.014474916380637,-58.26318028993628,237.82339182025706,4.094688085562606
6.59,6700.0,1900.0,9.0,160000.0,-8.19333272390515,-1.6260141247233444,-41.31099987029435,-54.805209258378476,-4.438466641185392
3.12,28000.0,2300.0,670.0,370000.0,11.480715746647624,-1.87709667854314,-45.92690257409178,-46.33743104300097,-5.0215176288762144
8.06,20000.0,2800.0,14.0,320000.0,-11.044066161858558,-1.5940222683986227,-39.27213642915896,-54.59341064466566,-3.824924302286864
7.89,18000.0,2500.0,15.0,320000.0,-10.844297444645195,-1.557504774280255,-40.01159630809835,-54.10164206007877,-3.8413809515818755
8.04,18000.0,2600.0,7.0,230000.0,-10.91264679336977,-1.569436164998115,-39.90749182597681,-54.304816833430195,-4.02752030044553
3.22,3100.0,1600.0,10000.0,160000.0,12.555300308997094,-1.778032411496386,-61.80764671225714,19.855342031576527,-8.735094254330566
7.47,20000.0,3100.0,21.0,280000.0,-10.558237632149181,-1.599592507646046,-38.67392436117321,-55.05330992633285,-3.8792934420673872
7.97,32000.0,3300.0,20.0,370000.0,-11.173473686085206,-1.6834934221086373,-38.495314133592586,-54.74858677870154,-3.7979084916584602
3.61,4600.0,1400.0,900.0,110000.0,7.430059500106389,-2.393859309059604,-47.97530863165251,-44.91427754520196,-7.841236967752151
3.22,12000.0,2200.0,4300.0,140000.0,11.852728596488621,-1.7694563236654952,-50.3151729992158,-22.461499954250925,-8.51085940395873
7.8,33000.0,4900.0,21.0,554000.0,-11.27436454803185,-1.6217913290892867,-35.15300116015625,-58.13015677092454,-2.764800623652479
3.52,54000.0,5500.0,74.0,740000.0,10.483737243329276,-0.5183910541249279,-38.41287108625363,-66.4074268457966,-1.7295517689330673
7.82,47000.0,5300.0,15.0,830000.0,-11.566796492150752,-0.8945102349014137,-34.57066501767224,-59.98168359042376,-1.487293988841448
7.06,32000.0,4100.0,14.0,482000.0,-10.155676169765671,-1.6648214348811692,-37.252098790125224,-56.98943119760259,-3.274200269685204
7.79,33000.0,5000.0,28.0,740000.0,-11.533380432790237,-1.5768987753658723,-34.97489932501665,-58.646899867671294,-1.9461097682163813
